Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Platelet Calcium Homeostasis	3/28	0.01065757677757045	0.09565825010112014	0	0	7.231656441717791	32.842453507947	SLC8A3;TRPC3;SLC8A2
Adenylate Cyclase Activating Pathway	2/10	0.01112596328894556	0.09748463072218971	0	0	15.032874617737004	67.62499361239374	ADCY1;ADCY7
Regulation of FOXO Transcriptional Activity by Acetylation	2/10	0.01112596328894556	0.09748463072218971	0	0	15.032874617737004	67.62499361239374	TXNIP;FOXO1
Myogenesis	3/29	0.01174491719213591	0.1009334737239321	0	0	6.95316186880604	30.902178647337585	MEF2C;MEF2B;MYF6
Ion Homeostasis	4/54	0.01192388780129335	0.1009334737239321	0	0	4.829784615384615	21.39213762230458	RYR1;SLC8A3;ATP1A4;SLC8A2
Signaling by NTRK1 (TRKA)	6/115	0.01193099485595393	0.1009334737239321	0	0	3.3337688527849574	14.7639809323889	MEF2C;EGR2;SRF;MAPKAPK2;IRS2;DNM1
Sensory Processing of Sound by Outer Hair Cells of the Cochlea	4/55	0.01269648707874419	0.10618880102222412	0	0	4.734841628959276	20.67435421080043	PCDH15;CDH23;CASK;CHRNA10
PPARA Activates Gene Expression	6/117	0.01290896504333537	0.10675278957185212	0	0	3.2733662455024684	14.238597315753797	ABCA1;ANKRD1;ME1;AHRR;NR1D1;FDFT1
Activation of the Phototransduction Cascade	2/11	0.01345177507535568	0.10879677423584372	0	0	13.361875637104994	57.57156804215818	RHO;SAG
Sodium Calcium Exchangers	2/11	0.01345177507535568	0.10879677423584372	0	0	13.361875637104994	57.57156804215818	SLC8A3;SLC8A2
Regulation of Lipid Metabolism by PPARalpha	6/119	0.01394180840993744	0.11153446727949952	0	0	3.21510178361051	13.737689947380863	ABCA1;ANKRD1;ME1;AHRR;NR1D1;FDFT1
G Alpha (S) Signalling Events	7/158	0.01584101711116051	0.12242376067277444	0	0	2.8102505038871293	11.64891741635447	PTGER4;GNGT2;PDE10A;GNB3;ADCY1;RXFP1;ADCY7
Reduction of Cytosolic Ca++ Levels	2/12	0.01596831660949231	0.12242376067277444	0	0	12.025076452599388	49.74952979640107	SLC8A3;SLC8A2
Erythropoietin Activates Phosphoinositide-3-kinase (PI3K)	2/12	0.01596831660949231	0.12242376067277444	0	0	12.025076452599388	49.74952979640107	IRS2;EPOR
GP1b-IX-V Activation Signalling	2/12	0.01596831660949231	0.12242376067277444	0	0	12.025076452599388	49.74952979640107	COL1A1;COL1A2
Opioid Signalling	5/90	0.01648012043156663	0.1230117087350662	0	0	3.555918663761801	14.59918125467804	GNGT2;GNB3;ADCY1;ADCY7;CAMKK1
Regulation of Pyruvate Metabolism	3/33	0.01671354738248182	0.1230117087350662	0	0	6.024846625766871	24.65087486303074	ME1;PDK4;PDK2
