stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000224721	9606.ENSP00000363840	CDH23	COL11A2	9606	0.485	0	0	0	0	0.045	0	0.483
9606.ENSP00000224721	9606.ENSP00000363068	CDH23	PCDH15	9606	0.999	0	0	0	0.051	0.983	0.7	0.992
9606.ENSP00000225964	9606.ENSP00000360626	COL1A1	KCNG1	9606	0.403	0	0	0	0	0.045	0	0.401
9606.ENSP00000225964	9606.ENSP00000295731	COL1A1	IHH	9606	0.433	0	0	0	0	0	0	0.433
9606.ENSP00000225964	9606.ENSP00000343925	COL1A1	ESR2	9606	0.444	0	0	0	0	0.077	0	0.423
9606.ENSP00000225964	9606.ENSP00000339730	COL1A1	THBS4	9606	0.477	0	0	0	0.07	0.099	0	0.425
9606.ENSP00000225964	9606.ENSP00000362870	COL1A1	MATN1	9606	0.503	0	0	0	0.049	0.099	0	0.467
9606.ENSP00000225964	9606.ENSP00000400365	COL1A1	LAMA2	9606	0.508	0	0	0	0.16	0.068	0	0.422
9606.ENSP00000225964	9606.ENSP00000368880	COL1A1	FOXO1	9606	0.519	0	0	0	0	0.333	0	0.308
9606.ENSP00000225964	9606.ENSP00000349790	COL1A1	COL9A1	9606	0.54	0	0	0.136	0	0	0.4	0.184
9606.ENSP00000225964	9606.ENSP00000284987	COL1A1	ADAMTS5	9606	0.55	0	0	0	0.184	0.053	0	0.464
9606.ENSP00000225964	9606.ENSP00000228938	COL1A1	MGP	9606	0.552	0	0	0	0.217	0	0	0.451
9606.ENSP00000225964	9606.ENSP00000265171	COL1A1	EGF	9606	0.564	0	0	0	0.044	0	0	0.563
9606.ENSP00000225964	9606.ENSP00000340874	COL1A1	MEF2C	9606	0.584	0	0	0	0	0	0	0.584
9606.ENSP00000225964	9606.ENSP00000265077	COL1A1	VCAN	9606	0.585	0	0	0	0.149	0.091	0	0.507
9606.ENSP00000225964	9606.ENSP00000380901	COL1A1	COL8A2	9606	0.592	0	0	0.162	0.131	0	0.4	0.177
9606.ENSP00000225964	9606.ENSP00000364946	COL1A1	MKX	9606	0.602	0	0	0	0.071	0	0	0.589
9606.ENSP00000225964	9606.ENSP00000361834	COL1A1	COL9A2	9606	0.68	0	0	0.125	0	0	0.4	0.44
9606.ENSP00000225964	9606.ENSP00000263556	COL1A1	P4HA1	9606	0.754	0	0	0	0.067	0.292	0.4	0.453
9606.ENSP00000225964	9606.ENSP00000446007	COL1A1	VIM	9606	0.778	0	0	0	0.144	0.05	0	0.749
9606.ENSP00000225964	9606.ENSP00000327368	COL1A1	COL10A1	9606	0.781	0	0	0.152	0.208	0	0.4	0.521
9606.ENSP00000225964	9606.ENSP00000369889	COL1A1	COL2A1	9606	0.867	0	0	0.054	0.042	0.075	0.72	0.521
9606.ENSP00000225964	9606.ENSP00000363840	COL1A1	COL11A2	9606	0.868	0	0	0.113	0.113	0	0.72	0.472
9606.ENSP00000225964	9606.ENSP00000443827	COL1A1	SP7	9606	0.88	0	0	0	0	0.053	0	0.879
9606.ENSP00000225964	9606.ENSP00000360493	COL1A1	RUNX2	9606	0.955	0	0	0	0.061	0	0.75	0.826
9606.ENSP00000225964	9606.ENSP00000359114	COL1A1	COL11A1	9606	0.965	0	0	0.095	0.244	0	0.72	0.841
9606.ENSP00000225964	9606.ENSP00000364000	COL1A1	COL5A2	9606	0.995	0	0	0.064	0.839	0	0.72	0.912
9606.ENSP00000225964	9606.ENSP00000297268	COL1A1	COL1A2	9606	0.999	0	0	0.061	0.964	0.649	0.9	0.981
9606.ENSP00000226067	9606.ENSP00000482093	HLF	PER3	9606	0.578	0	0	0	0.165	0.166	0	0.442
9606.ENSP00000226067	9606.ENSP00000246672	HLF	NR1D1	9606	0.581	0	0	0	0.095	0.062	0	0.546
9606.ENSP00000226067	9606.ENSP00000254657	HLF	PER2	9606	0.6	0	0	0	0.168	0.126	0	0.494
9606.ENSP00000226247	9606.ENSP00000478672	FOXN1	RAG2	9606	0.549	0	0	0	0.101	0	0	0.519
9606.ENSP00000226247	9606.ENSP00000243056	FOXN1	HOXC13	9606	0.794	0	0	0	0.15	0.184	0	0.727
9606.ENSP00000228641	9606.ENSP00000368880	MYF6	FOXO1	9606	0.422	0	0	0	0	0	0	0.422
9606.ENSP00000228641	9606.ENSP00000307321	MYF6	HOXC10	9606	0.459	0	0	0	0.103	0.067	0	0.406
9606.ENSP00000228641	9606.ENSP00000265354	MYF6	SRF	9606	0.461	0	0	0	0.111	0	0	0.418
9606.ENSP00000228641	9606.ENSP00000339730	MYF6	THBS4	9606	0.461	0	0	0	0.129	0	0	0.407
9606.ENSP00000228641	9606.ENSP00000400908	MYF6	MYBPC1	9606	0.474	0	0	0	0.365	0	0	0.206
9606.ENSP00000228641	9606.ENSP00000352608	MYF6	RYR1	9606	0.485	0	0	0	0.24	0	0	0.349
9606.ENSP00000228641	9606.ENSP00000430075	MYF6	AMPD1	9606	0.487	0	0	0	0.378	0	0	0.21
9606.ENSP00000228641	9606.ENSP00000371336	MYF6	TNNI2	9606	0.552	0	0	0	0.295	0	0	0.39
9606.ENSP00000228641	9606.ENSP00000228841	MYF6	MYL2	9606	0.579	0	0	0	0.425	0	0	0.298
9606.ENSP00000228641	9606.ENSP00000402154	MYF6	MEF2B	9606	0.718	0	0	0	0.044	0.045	0.5	0.456
9606.ENSP00000228641	9606.ENSP00000340874	MYF6	MEF2C	9606	0.765	0	0	0	0	0.045	0.5	0.548
9606.ENSP00000228837	9606.ENSP00000332353	FGF6	PTCH1	9606	0.417	0	0	0	0	0.059	0	0.406
9606.ENSP00000228837	9606.ENSP00000295731	FGF6	IHH	9606	0.512	0	0	0	0.042	0	0	0.512
9606.ENSP00000228837	9606.ENSP00000360493	FGF6	RUNX2	9606	0.532	0	0	0	0.066	0	0	0.52
9606.ENSP00000228837	9606.ENSP00000389814	FGF6	ADIPOQ	9606	0.598	0	0	0	0.048	0	0	0.596
9606.ENSP00000228837	9606.ENSP00000481675	FGF6	SPRY1	9606	0.622	0	0	0	0	0	0	0.622
9606.ENSP00000228837	9606.ENSP00000265171	FGF6	EGF	9606	0.988	0	0	0	0	0.053	0	0.988
9606.ENSP00000228841	9606.ENSP00000311436	MYL2	ABRA	9606	0.418	0	0	0	0.357	0.067	0	0.107
9606.ENSP00000228841	9606.ENSP00000430075	MYL2	AMPD1	9606	0.418	0	0	0	0.174	0	0.106	0.275
9606.ENSP00000228841	9606.ENSP00000303394	MYL2	HSPB3	9606	0.42	0	0	0	0.276	0.062	0	0.215
9606.ENSP00000228841	9606.ENSP00000265354	MYL2	SRF	9606	0.423	0	0	0	0	0	0	0.423
9606.ENSP00000228841	9606.ENSP00000494788	MYL2	CASK	9606	0.439	0	0	0	0	0.415	0	0.081
9606.ENSP00000228841	9606.ENSP00000352608	MYL2	RYR1	9606	0.507	0	0	0	0.121	0.218	0	0.34
9606.ENSP00000228841	9606.ENSP00000404203	MYL2	CKMT2	9606	0.52	0	0	0	0.275	0	0	0.365
9606.ENSP00000228841	9606.ENSP00000255416	MYL2	MYBPH	9606	0.524	0	0	0	0.192	0	0	0.435
9606.ENSP00000228841	9606.ENSP00000284767	MYL2	PDLIM3	9606	0.538	0	0	0	0.188	0.096	0	0.421
9606.ENSP00000228841	9606.ENSP00000355192	MYL2	CACNA1S	9606	0.546	0	0	0	0.191	0.134	0	0.403
9606.ENSP00000228841	9606.ENSP00000446007	MYL2	VIM	9606	0.614	0	0	0	0.103	0	0.5	0.21
9606.ENSP00000228841	9606.ENSP00000360762	MYL2	ANKRD1	9606	0.622	0	0	0	0.254	0.104	0	0.48
9606.ENSP00000228841	9606.ENSP00000340874	MYL2	MEF2C	9606	0.632	0	0	0	0.071	0.053	0	0.615
9606.ENSP00000228841	9606.ENSP00000400908	MYL2	MYBPC1	9606	0.868	0	0	0	0.327	0.125	0.5	0.605
9606.ENSP00000228841	9606.ENSP00000371336	MYL2	TNNI2	9606	0.905	0	0	0	0.392	0.189	0.5	0.661
9606.ENSP00000228938	9606.ENSP00000297268	MGP	COL1A2	9606	0.532	0	0	0	0.222	0	0	0.423
9606.ENSP00000228938	9606.ENSP00000443827	MGP	SP7	9606	0.548	0	0	0	0	0	0	0.548
9606.ENSP00000228938	9606.ENSP00000360493	MGP	RUNX2	9606	0.683	0	0	0	0.042	0	0	0.683
9606.ENSP00000228938	9606.ENSP00000367952	MGP	UCMA	9606	0.762	0	0	0	0	0	0	0.762
9606.ENSP00000229264	9606.ENSP00000230361	GNB3	GUCA1B	9606	0.4	0	0	0	0.071	0.068	0	0.362
9606.ENSP00000229264	9606.ENSP00000497110	GNB3	GRM6	9606	0.407	0	0	0	0.043	0	0	0.406
